Outlet,Tue 20th Sep 2022,Revenue (Incl. Tax),Revenue,Cost of Goods Sold,Gross Profit,Margin (%),Tax
Molendinar Supa Shop,5678.56004,5678.56004,5632.80911,107.54962,5525.25949,0.98091,45.75093
Princess Street,5441.26003,5441.26003,5263.1227,1040.22983,4222.89287,0.80236,178.13733
Virginia,3543.71003,3543.71003,3533.55906,51.00207,3482.55699,0.98557,10.15097
Woolcock Street,3330.78996,3330.78996,3319.44546,34.28967,3285.15579,0.98967,11.3445
Kunda Park,3290.39003,3290.39003,3279.00907,52.18325,3226.82582,0.98409,11.38096
Margate,2999.53205,2999.53205,2977.16543,109.27186,2867.89357,0.9633,22.36662
Bokarina,2969.69003,2969.69003,2950.85458,112.20724,2838.64734,0.96197,18.83545
Bay Drive,2779.32005,2779.32005,2744.85907,121.7537,2623.10537,0.95564,34.46098
Earlville,2634.92002,2634.92002,2623.04546,63.43234,2559.61312,0.97582,11.87456
Tweed Heads South,2602.21002,2602.21002,2592.28636,36.61111,2555.67525,0.98588,9.92366
Brendale 2,2597.56004,2597.56004,2551.73634,160.3697,2391.36664,0.93715,45.8237
Windsor,2527.43,2527.43,2496.39088,120.17131,2376.21957,0.95186,31.03912
Cairns,2440.78,2440.78,2397.14909,195.95889,2201.1902,0.91825,43.63091
Logan Centre,2394.34001,2394.34001,2372.97274,105.53128,2267.44146,0.95553,21.36727
Morayfield,2364.91003,2364.91003,2337.77727,158.35151,2179.42576,0.93226,27.13276
Jacaranda Street,2336,2336,2275.58179,392.09684,1883.48495,0.82769,60.41821
Noosaville,2208.83002,2208.83002,2197.54092,41.1837,2156.35722,0.98126,11.2891
Capalaba,2134.205,2134.205,2097.32726,275.64944,1821.67782,0.86857,36.87774
Oxenford,2080.74,2080.74,2055.29553,139.99598,1915.29955,0.93189,25.44447
Smithfield,2058.8,2058.8,2051.79088,34.645,2017.14588,0.98311,7.00912
Coolangatta,2019.97004,2019.97004,1970.35753,122.9173,1847.44023,0.93762,49.61251
Lawnton,1938.98002,1938.98002,1932.23637,29.78377,1902.4526,0.98459,6.74365
Acacia Ridge,1942.43305,1942.43305,1920.79818,109.45933,1811.33886,0.94301,21.63487
Emerald,1954.35002,1954.35002,1855.39544,516.77675,1338.61869,0.72147,98.95458
Maroochydore,1857.30005,1857.30005,1840.10456,50.58369,1789.52087,0.97251,17.19549
Campbell Street,1834.65,1834.65,1816.57728,56.34238,1760.2349,0.96898,18.07272
Adelaide Street,1823.28501,1823.28501,1809.34999,49.2547,1760.09529,0.97278,13.93502
Burleigh Heads,1787.77007,1787.77007,1737.15916,93.28775,1643.87141,0.9463,50.61091
Edmonton,1709.2,1709.2,1704.22725,24.09022,1680.13703,0.98586,4.97275
Heaths Road Shop,1728.97002,1728.97002,1700.89087,162.47169,1538.41918,0.90448,28.07915
Gatton,1728.87004,1728.87004,1679.60907,107.58385,1572.02522,0.93595,49.26097
Bundaberg West,1664.40002,1664.40002,1647.59544,88.6035,1558.99194,0.94622,16.80458
Stones Corner,1655.99006,1655.99006,1633.24087,68.67422,1564.56665,0.95795,22.74919
Kingaroy,1639.60003,1639.60003,1617.4727,113.6939,1503.7788,0.92971,22.12733
Mossman,1658.83001,1658.83001,1611.39089,201.60139,1409.7895,0.87489,47.43912
Mareeba,1632.49,1632.49,1600.91814,155.07907,1445.83907,0.90313,31.57186
Redbank Plaza,1691.28001,1691.28001,1582.29999,568.11586,1014.18413,0.64096,108.98002
Tinana,1514.75,1514.75,1505.21818,15.72058,1489.4976,0.98956,9.53182
Clifton Street,1516.60001,1516.60001,1503.32727,52.8994,1450.42787,0.96481,13.27274
Pomona,1506.16002,1506.16002,1501.9909,23.13284,1478.85806,0.9846,4.16912
Caloundra,1506.15004,1506.15004,1490.88635,68.47831,1422.40804,0.95407,15.26369
Riverways,1486.30501,1486.30501,1481.66364,27.5898,1454.07384,0.98138,4.64137
West End Shop,1477.68005,1477.68005,1452.04088,73.79078,1378.2501,0.94918,25.63917
Nambour,1455.81002,1455.81002,1439.84544,43.33902,1396.50642,0.9699,15.96458
Yamanto,1451.67002,1451.67002,1426.20001,57.95671,1368.2433,0.95936,25.47001
Roundabout,1418.89001,1418.89001,1415.08183,19.06958,1396.01225,0.98652,3.80818
Browns Plains Furniture,1422.52,1422.52,1411.30451,48.43448,1362.87003,0.96568,11.21549
Mermaid Beach,1416.33001,1416.33001,1405.31817,55.69085,1349.62732,0.96037,11.01184
Runaway Bay,1369.2,1369.2,1365.39998,16.07259,1349.32739,0.98823,3.80002
Riverlink,1418.24,1418.24,1362.26818,339.78121,1022.48697,0.75058,55.97182
Central,1353.92001,1353.92001,1342.52726,58.77201,1283.75525,0.95622,11.39275
Nerang,1338.45,1338.45,1317.34544,236.02229,1081.32315,0.82083,21.10456
Maryborough,1312.44003,1312.44003,1300.50364,63.46234,1237.0413,0.9512,11.93639
Pacific Paradise,1285.96,1285.96,1275.53633,55.42331,1220.11302,0.95655,10.42367
Domain,1264.9,1264.9,1261.99089,12.75806,1249.23283,0.98989,2.90911
Treetops,1244.84,1244.84,1240.96362,24.36714,1216.59648,0.98036,3.87638
Pialba,1245.75004,1245.75004,1230.48635,75.15152,1155.33483,0.93893,15.26369
Cooroy,1219.61004,1219.61004,1203.91818,28.26952,1175.64866,0.97652,15.69186
Labrador,1209,1209,1201.42726,42.82583,1158.60143,0.96435,7.57274
Aitkenvale Plaza,1156.9,1156.9,1154.95454,9.85924,1145.0953,0.99146,1.94546
Coolum,1142.24003,1142.24003,1122.85455,97.72652,1025.12803,0.91297,19.38548
Southport,1131.09,1131.09,1121.22726,64.36264,1056.86462,0.9426,9.86274
Woodford,1086.81002,1086.81002,1080.87726,28.89532,1051.98194,0.97327,5.93276
Rising Sun,1082.01001,1082.01001,1071.01816,51.88397,1019.13419,0.95156,10.99185
Palm Beach,1069.20004,1069.20004,1056.79092,58.12855,998.66237,0.945,12.40912
Underwood,1061.00001,1061.00001,1048.18185,66.94812,981.23373,0.93613,12.81816
Glad Megastore,1031.39002,1031.39002,1016.51366,64.16994,952.34372,0.93687,14.87636
Everton Park,995.64,995.64,986.65909,54.38448,932.27461,0.94488,8.98091
Innisfail,993.06004,993.06004,980.81818,58.30381,922.51437,0.94056,12.24186
Ayr,986.54,986.54,978.96363,36.10796,942.85567,0.96312,7.57637
Goodna,992.44,992.44,976.90009,41.00781,935.89228,0.95802,15.53991
Bellara Store,967.38002,967.38002,965.9591,28.07072,937.88838,0.97094,1.42092
Brassall,965.35,965.35,956.3818,44.132,912.2498,0.95386,8.9682
Kingston,953.90001,953.90001,949.68181,23.57079,926.11102,0.97518,4.2182
Maleny,953.29,953.29,940.58638,76.42388,864.1625,0.91875,12.70362
City Shop,943.03001,943.03001,934.19999,37.01443,897.18556,0.96038,8.83002
Browns Plains Clothing,912.2,912.2,904.58636,37.09896,867.4874,0.95899,7.61364
Annerley,911.99001,911.99001,904.1273,2.42,901.7073,0.99732,7.86271
Mount Gravatt Place,907.86,907.86,900.16818,40.04726,860.12092,0.95551,7.69182
Charters Towers,915.97,915.97,899.9318,69.72395,830.20785,0.92252,16.0382
Footprints Capalaba,886.4,886.4,884.68636,7.42,877.26636,0.99161,1.71364
Fernvale,886.70004,886.70004,858.99999,122.18858,736.81141,0.85775,27.70005
Ingham,850.91002,850.91002,844.46364,30.41384,814.0498,0.96398,6.44638
Beerwah,850.65001,850.65001,843.38184,30.56932,812.81252,0.96375,7.26817
Atherton,825.34,825.34,823.20908,11.20619,812.00289,0.98639,2.13092
Mount Isa,784,784,776.36367,30.6162,745.74747,0.96056,7.63633
Wynnum,773.89001,773.89001,765.08639,47.35875,717.72764,0.9381,8.80362
Tewantin,779.36003,779.36003,764.30001,96.91585,667.38416,0.8732,15.06002
Rothwell,765.8,765.8,763.76362,10.53656,753.22706,0.9862,2.03638
Kallangur,756.51501,756.51501,750.93408,23.82542,727.10866,0.96827,5.58093
Footprints Brackenridge,748.95,748.95,748.59091,1.33459,747.25632,0.99822,0.35909
Inala,690.59,690.59,686.6,18.3276,668.2724,0.97331,3.99
Cleveland,693.10001,693.10001,682.72273,52.47886,630.24387,0.92313,10.37728
Childers,650.18851,650.18851,644.33839,31.9871,612.35128,0.95036,5.85012
Carina,644.95,644.95,644.31364,3.80636,640.50728,0.99409,0.63636
Laidley,631.7,631.7,627.18181,22.89805,604.28376,0.96349,4.51819
Mirani,572.45,572.45,566.91816,27.574,539.34416,0.95136,5.53184
Sumner Park,569.78998,569.78998,562.99089,36.35996,526.63093,0.93542,6.79909
Molendinar Seconds,549,549,549,0,549,1,0
Creek Street,551,551,543.75,39.82391,503.92609,0.92676,7.25
Lowood,557.85,557.85,541.03638,130.44771,410.58867,0.75889,16.81362
Proserpine,539.3,539.3,534.63637,23.20337,511.433,0.9566,4.66363
Gin Gin,541.44003,541.44003,531.46364,38.73857,492.72507,0.92711,9.97639
Nundah,492.30004,492.30004,491.09092,18.49418,472.59674,0.96234,1.20912
Mount View Plaza,490.28,490.28,483.52728,31.42368,452.1036,0.93501,6.75272
North Lakes,475.02501,475.02501,471.44319,18.64684,452.79635,0.96045,3.58182
Moorooka,455.55,455.55,454.64545,5,449.64545,0.989,0.90455
Shakespeare Street,454.88001,454.88001,451.66364,13.39,438.27364,0.97035,3.21637
Booval,460.14,460.14,451.39093,46.55932,404.83161,0.89685,8.74907
Andergrove,455.85,455.85,447.70909,42.85884,404.85025,0.90427,8.14091
Burpengary,443.76,443.76,439.07728,46.69429,392.38299,0.89365,4.68272
Springwood,437.5,437.5,432.53637,27.115,405.42137,0.93731,4.96363
Waterford,399.90002,399.90002,397.09092,14.425,382.66592,0.96367,2.8091
Queen Street,359.18001,359.18001,351.32272,39.57554,311.74718,0.88735,7.85729
Gayndah Furniture,358.55,358.55,351.11364,39.42168,311.69196,0.88772,7.43636
Mount Morgan,322.94001,322.94001,321.12727,4.918,316.20927,0.98469,1.81274
Miriam Vale,311,311,308.91365,8.74954,300.16411,0.97168,2.08635
Murgon,266,266,265.77273,1.28353,264.4892,0.99517,0.22727
Footprints West End,140.04002,140.04002,137.71818,13.55021,124.16797,0.90161,2.32184
Warehouse Bundaberg,120,120,109.0909,0,109.0909,1,10.9091
Warehouse Ipswich,49,49,49,0,49,1,0
Warehouse Fraser,6.9,6.9,6.9,0,6.9,1,0
,,,,,,,
Revenue (Incl. Tax),162875.4801,,,,,,
Revenue,160855.8347,,,,,,
Cost of Goods Sold,9510.22867,,,,,,
Gross Profit,151345.606,,,,,,
Margin (%),0.94088,,,,,,
Tax,2019.6454,,,,,,
