JournalID,JSID,OutletName,CreatedAt,Account,AccountType,Description,Date,Currency,Debit,Credit,PaymReference,CostCentre,FinancialSite,ServiceClass,FundSource,InternalParty,SubCode,GST_group,Item_GST_group
3068319,jid632a1bc11c3ef,Redbank Plaza,2022-09-21,431006,Ledger,Pur Accessories,2022-09-20,AUD,0.00,251.41,30513,30513,1625,1167,700652,99999,999999,GST,GST
3068320,jid632a1bc11c3ef,Redbank Plaza,2022-09-21,431008,Ledger,Pur Manchester,2022-09-20,AUD,0.00,44.85,30513,30513,1625,1167,700652,99999,999999,GST,GST
3068321,jid632a1bc11c3ef,Redbank Plaza,2022-09-21,431009,Ledger,Pur Sundries,2022-09-20,AUD,0.00,7.50,30513,30513,1625,1167,700652,99999,999999,GST,GST
3068322,jid632a1bc11c3ef,Redbank Plaza,2022-09-21,431010,Ledger,Pur Furniture,2022-09-20,AUD,0.00,848.00,30513,30513,1625,1167,700652,99999,999999,GST,GST
3068323,jid632a1bc11c3ef,Redbank Plaza,2022-09-21,435009,Ledger,Delivery,2022-09-20,AUD,0.00,49.00,30513,30513,1625,1167,700652,99999,999999,GST,GST
3068324,jid632a1bc11c3ef,Laidley,2022-09-21,431006,Ledger,Pur Accessories,2022-09-20,AUD,0.00,7.00,30514,30514,1053,1167,700652,99999,999999,GST,GST
3068325,jid632a1bc11c3ef,Laidley,2022-09-21,431007,Ledger,Pur Homewares,2022-09-20,AUD,0.00,11.85,30514,30514,1053,1167,700652,99999,999999,GST,GST
3068326,jid632a1bc11c3ef,Laidley,2022-09-21,431009,Ledger,Pur Sundries,2022-09-20,AUD,0.00,30.85,30514,30514,1053,1167,700652,99999,999999,GST,GST
3068327,jid632a1bc11c3ef,Coolangatta,2022-09-21,431002,Ledger,Pur Mens Wear,2022-09-20,AUD,0.00,4.50,30517,30517,1628,1167,700652,99999,999999,GST,GST
3068328,jid632a1bc11c3ef,Coolangatta,2022-09-21,431003,Ledger,Pur Childrens Wear,2022-09-20,AUD,0.00,275.00,30517,30517,1628,1167,700652,99999,999999,GST,GST
3068329,jid632a1bc11c3ef,Coolangatta,2022-09-21,431006,Ledger,Pur Accessories,2022-09-20,AUD,0.00,89.71,30517,30517,1628,1167,700652,99999,999999,GST,GST
3068330,jid632a1bc11c3ef,Coolangatta,2022-09-21,431007,Ledger,Pur Homewares,2022-09-20,AUD,0.00,14.95,30517,30517,1628,1167,700652,99999,999999,GST,GST
3068331,jid632a1bc11c3ef,Coolangatta,2022-09-21,431008,Ledger,Pur Manchester,2022-09-20,AUD,0.00,71.95,30517,30517,1628,1167,700652,99999,999999,GST,GST
3068332,jid632a1bc11c3ef,Coolangatta,2022-09-21,431009,Ledger,Pur Sundries,2022-09-20,AUD,0.00,98.75,30517,30517,1628,1167,700652,99999,999999,GST,GST
3068333,jid632a1bc11c3ef,Windsor,2022-09-21,431003,Ledger,Pur Childrens Wear,2022-09-20,AUD,0.00,140.00,30516,30516,1627,1167,700652,99999,999999,GST,GST
3068334,jid632a1bc11c3ef,Windsor,2022-09-21,431006,Ledger,Pur Accessories,2022-09-20,AUD,0.00,83.79,30516,30516,1627,1167,700652,99999,999999,GST,GST
3068335,jid632a1bc11c3ef,Windsor,2022-09-21,431007,Ledger,Pur Homewares,2022-09-20,AUD,0.00,15.90,30516,30516,1627,1167,700652,99999,999999,GST,GST
3068336,jid632a1bc11c3ef,Windsor,2022-09-21,431008,Ledger,Pur Manchester,2022-09-20,AUD,0.00,36.85,30516,30516,1627,1167,700652,99999,999999,GST,GST
3068337,jid632a1bc11c3ef,Windsor,2022-09-21,431009,Ledger,Pur Sundries,2022-09-20,AUD,0.00,67.85,30516,30516,1627,1167,700652,99999,999999,GST,GST
3068338,jid632a1bc11c3ef,Morayfield,2022-09-21,431004,Ledger,Pur Womens Wear,2022-09-20,AUD,0.00,4.50,30521,30521,1631,1167,700652,99999,999999,GST,GST
3068339,jid632a1bc11c3ef,Morayfield,2022-09-21,431006,Ledger,Pur Accessories,2022-09-20,AUD,0.00,70.81,30521,30521,1631,1167,700652,99999,999999,GST,GST
3068340,jid632a1bc11c3ef,Morayfield,2022-09-21,431007,Ledger,Pur Homewares,2022-09-20,AUD,0.00,7.95,30521,30521,1631,1167,700652,99999,999999,GST,GST
3068341,jid632a1bc11c3ef,Morayfield,2022-09-21,431008,Ledger,Pur Manchester,2022-09-20,AUD,0.00,59.90,30521,30521,1631,1167,700652,99999,999999,GST,GST
3068342,jid632a1bc11c3ef,Morayfield,2022-09-21,431009,Ledger,Pur Sundries,2022-09-20,AUD,0.00,13.95,30521,30521,1631,1167,700652,99999,999999,GST,GST
3068343,jid632a1bc11c3ef,Morayfield,2022-09-21,431010,Ledger,Pur Furniture,2022-09-20,AUD,0.00,159.00,30521,30521,1631,1167,700652,99999,999999,GST,GST
3068344,jid632a1bc11c3ef,Morayfield,2022-09-21,571015,Ledger,Business Expense,2022-09-20,AUD,17.65,0.00,30521,30521,1631,1167,700652,99999,999999,GST,GST
3068345,jid632a1bc11c3ef,Brassall,2022-09-21,431002,Ledger,Pur Mens Wear,2022-09-20,AUD,0.00,9.00,30522,30522,1632,1167,700652,99999,999999,GST,GST
3068346,jid632a1bc11c3ef,Brassall,2022-09-21,431006,Ledger,Pur Accessories,2022-09-20,AUD,0.00,20.93,30522,30522,1632,1167,700652,99999,999999,GST,GST
3068347,jid632a1bc11c3ef,Brassall,2022-09-21,431007,Ledger,Pur Homewares,2022-09-20,AUD,0.00,24.80,30522,30522,1632,1167,700652,99999,999999,GST,GST
3068348,jid632a1bc11c3ef,Brassall,2022-09-21,431009,Ledger,Pur Sundries,2022-09-20,AUD,0.00,45.90,30522,30522,1632,1167,700652,99999,999999,GST,GST
3068349,jid632a1bc11c3ef,Brendale 2,2022-09-21,431002,Ledger,Pur Mens Wear,2022-09-20,AUD,0.00,4.50,30523,30523,1633,1167,700652,99999,999999,GST,GST
3068350,jid632a1bc11c3ef,Brendale 2,2022-09-21,431003,Ledger,Pur Childrens Wear,2022-09-20,AUD,0.00,149.50,30523,30523,1633,1167,700652,99999,999999,GST,GST
3068351,jid632a1bc11c3ef,Brendale 2,2022-09-21,431004,Ledger,Pur Womens Wear,2022-09-20,AUD,0.00,9.00,30523,30523,1633,1167,700652,99999,999999,GST,GST
3068352,jid632a1bc11c3ef,Brendale 2,2022-09-21,431006,Ledger,Pur Accessories,2022-09-20,AUD,0.00,96.70,30523,30523,1633,1167,700652,99999,999999,GST,GST
3068353,jid632a1bc11c3ef,Brendale 2,2022-09-21,431007,Ledger,Pur Homewares,2022-09-20,AUD,0.00,1.50,30523,30523,1633,1167,700652,99999,999999,GST,GST
